Date,Open,High,Low,Close,Adj Close,Volume
19890410,188.399994,189.434998,188.309998,189.274994,189.274994,219680000
19890411,189.274994,191.520004,189.274994,190.910004,190.910004,266540000
19890412,190.910004,193.600006,190.910004,192.529999,192.529999,322600000
19890413,192.529999,193.449997,191.149994,191.830002,191.830002,285980000
19890414,191.830002,194.714996,191.824997,194.630005,194.630005,289300000
19890417,194.630005,195.119995,194.080002,194.589996,194.589996,230440000
19890418,194.589996,197.274994,194.589996,196.830002,196.830002,306960000
19890419,196.830002,198.720001,196.729996,198.070007,198.070007,310020000
19890420,198.070007,198.494995,195.804993,197.649994,197.649994,282060000
19890421,197.649994,199.054993,197.399994,198.860001,198.860001,298940000
19890424,198.860001,198.860001,197.845001,198.315002,198.315002,196340000
19890425,198.315002,199.300003,196.820007,197.240005,197.240005,247300000
19890426,197.240005,197.755005,196.675003,197.250000,197.250000,273320000
19890427,197.250000,199.809998,197.139999,199.570007,199.570007,274820000
19890428,199.570007,200.494995,198.809998,200.470001,200.470001,258480000
19890501,200.470001,201.100006,199.145004,200.750000,200.750000,233440000
19890502,200.750000,201.630005,200.154999,200.744995,200.744995,281960000
19890503,200.744995,202.044998,200.604996,201.585007,201.585007,284980000
19890504,201.585007,202.990005,201.410004,202.095001,202.095001,292760000
19890505,202.095001,205.255005,202.095001,203.440002,203.440002,312140000
19890508,203.440002,203.960007,201.850006,203.039993,203.039993,258060000
19890509,203.039993,204.054993,201.809998,202.684998,202.684998,271300000
19890510,202.684998,203.544998,202.375000,203.014999,203.014999,259320000
19890511,203.014999,204.039993,202.770004,203.514999,203.514999,289980000
19890512,203.514999,207.184998,203.514999,207.154999,207.154999,332720000
19890515,207.154999,209.164993,207.000000,208.895004,208.895004,267320000
19890516,208.895004,209.130005,207.440002,208.255005,208.255005,286920000
19890517,208.255005,211.294998,208.255005,210.729996,210.729996,339980000
19890518,210.729996,211.479996,210.195007,211.059998,211.059998,326900000
19890519,211.059998,213.130005,211.059998,212.610001,212.610001,363920000
19890522,212.610001,213.699997,211.455002,212.369995,212.369995,249220000
19890523,212.369995,212.440002,210.544998,210.625000,210.625000,281920000
19890524,210.625000,212.065002,209.705002,211.985001,211.985001,244720000
19890525,211.985001,213.770004,211.875000,212.839996,212.839996,258320000
19890526,212.839996,214.460007,212.634995,214.434998,214.434998,233980000
19890530,214.434998,215.184998,212.384995,213.589996,213.589996,232260000
19890531,213.589996,215.065002,213.039993,214.544998,214.544998,247620000
19890601,214.544998,216.195007,214.039993,215.589996,215.589996,271740000
19890602,215.589996,218.110001,215.279999,217.789993,217.789993,327600000
19890605,217.789993,218.145004,213.190002,213.399994,213.399994,275460000
19890606,213.399994,215.050003,212.820007,214.395004,214.395004,285500000
19890607,214.395004,220.184998,214.395004,219.880005,219.880005,320440000
19890608,219.880005,220.809998,219.145004,219.389999,219.389999,311920000
19890609,219.389999,219.455002,217.860001,218.794998,218.794998,280880000
19890612,218.794998,218.794998,216.860001,218.600006,218.600006,251120000
19890613,218.600006,218.604996,215.274994,216.544998,216.544998,293900000
19890614,216.544998,217.725006,215.750000,216.664993,216.664993,263240000
19890615,216.664993,216.699997,212.649994,213.089996,213.089996,275000000
19890616,213.089996,213.089996,211.059998,212.815002,212.815002,264220000
19890619,212.815002,213.145004,210.529999,212.285004,212.285004,219180000
19890620,212.285004,213.110001,210.975006,211.039993,211.039993,274140000
19890621,211.039993,212.509995,210.389999,210.910004,210.910004,272800000
19890622,210.910004,212.449997,210.654999,212.220001,212.220001,265580000
19890623,212.220001,214.440002,212.220001,214.259995,214.259995,306300000
19890626,214.259995,215.529999,213.574997,213.615005,213.615005,219100000
19890627,213.615005,215.085007,213.615005,213.934998,213.934998,238040000
19890628,213.934998,213.934998,209.990005,211.070007,211.070007,254980000
19890629,211.070007,211.070007,205.949997,206.770004,206.770004,284060000
19890630,206.770004,206.994995,201.990005,204.585007,204.585007,274200000
19890703,204.585007,205.664993,203.610001,205.464996,205.464996,106400000
19890705,205.464996,206.794998,204.604996,206.365005,206.365005,189040000
19890706,206.365005,207.669998,206.365005,207.669998,207.669998,236100000
19890707,207.669998,210.220001,207.470001,209.580002,209.580002,240620000
19890710,209.580002,210.029999,208.699997,209.330002,209.330002,225480000
19890711,209.330002,211.134995,209.330002,209.940002,209.940002,284280000
19890712,209.940002,211.175003,209.360001,210.869995,210.869995,294520000
19890713,210.869995,212.250000,210.220001,211.479996,211.479996,260220000
19890714,211.479996,212.895004,210.539993,212.865005,212.865005,257700000
19890717,212.865005,214.145004,212.095001,213.735001,213.735001,215780000
19890718,213.735001,213.735001,210.994995,211.384995,211.384995,263760000
19890719,211.384995,213.619995,211.384995,213.610001,213.610001,319760000
19890720,213.610001,214.190002,211.014999,211.095001,211.095001,333240000
19890721,211.095001,211.619995,209.884995,210.865005,210.865005,289520000
19890724,210.865005,210.865005,208.050003,208.115005,208.115005,216120000
19890725,208.115005,210.610001,207.589996,208.014999,208.014999,255300000
19890726,208.014999,209.904999,207.520004,209.895004,209.895004,248940000
19890727,209.895004,213.020004,209.895004,212.755005,212.755005,280500000
19890728,212.755005,213.360001,212.070007,213.145004,213.145004,257800000
19890731,213.145004,214.335007,212.080002,214.274994,214.274994,223800000
19890801,214.274994,215.494995,212.505005,212.835007,212.835007,273760000
19890802,212.835007,212.940002,211.634995,212.839996,212.839996,260360000
19890803,212.839996,214.949997,212.839996,214.559998,214.559998,292020000
19890804,214.559998,215.725006,213.229996,215.139999,215.139999,267340000
19890807,215.139999,219.020004,215.139999,218.759995,218.759995,270500000
19890808,218.759995,220.085007,217.854996,219.729996,219.729996,320540000
19890809,219.729996,220.414993,217.735001,217.850006,217.850006,311380000
19890810,217.850006,218.164993,216.024994,217.419998,217.419998,268860000
19890811,217.419998,219.414993,215.690002,216.304993,216.304993,278520000
19890814,216.304993,216.304993,214.554993,214.809998,214.809998,289320000
19890815,214.809998,215.880005,214.580002,215.869995,215.869995,266980000
19890816,215.869995,216.779999,214.365005,214.869995,214.869995,258500000
19890817,214.869995,216.235001,214.335007,216.149994,216.149994,272640000
19890818,216.149994,217.190002,215.960007,216.720001,216.720001,269040000
